Id;Name;Universe;Description;Image;Info
1;Indiana Jones;Indiana Jones;Indiana Jones nació como Henry Walton Jones Jr. de un profesor de estudios medievales de origen escocés, Henry Walton Jones, Senior, y su esposa Anna el 1 de julio de 1899, en Princeton, Nueva Jersey. Henry Jr. tenía una hermana, Susie, pero murió a una edad temprana.;https://static.wikia.nocookie.net/wfl/images/2/2f/Indiana_Jones.jpg;https://indianajones.fandom.com/es/wiki/Indiana_Jones
2;John McClane;Jungla de Cristal;John McClane se basó en el detective Joe Leland, personaje de la novela de Roderick Thorp Nothing Lasts Forever, junto con otro personaje, Frank Malone, de la novela de Walter Wager 58 Minutes (posteriormente adaptada como Die Hard 2). Además de esto, está inspirado por Harry el Sucio. En Die Hard, el jefe de los terroristas, Hans Gruber (Alan Rickman), lo describe como un vaquero americano que se cree John Wayne.;https://vignette.wikia.nocookie.net/diehard/images/7/76/J-McClane_Profile.jpg;https://diehard.fandom.com/wiki/John_McClane
3;Yoda;Star Wars;Yoda fue un miembro masculino de una especie misteriosa. Era un reverenciado Maestro Jedi que sirvió como Gran Maestro de la Orden Jedi en los últimos días de la República Galáctica. Era famoso dentro de la Orden por su sabiduría, poderes de la Fuerza y combate con sables de luz, y vivió durante casi 900 años. Su tiempo durante los últimos días de la Orden Jedi y más allá lo convirtió en una figura consecuente en la historia galáctica.;https://vignette.wikia.nocookie.net/es.starwars/images/d/d6/Yoda_SWSB.png;https://starwars.fandom.com/es/wiki/Yoda
4;Obi-Wan Kenobi;Star Wars;Obi-Wan Kenobi fue un hombre humano sensible a la Fuerza y un legendario Maestro Jedi y miembro del Alto Consejo Jedi durante la Caída de la República. Durante la Era del Imperio, empleó el alias de Ben Kenobi para esconderse del régimen que condujo a los Jedi a su casi absoluta extinción tras las Guerras Clon. Un hombre noble conocido por sus habilidades con la Fuerza, Kenobi entrenó a Anakin Skywalker como su Padawan, sirvió como General Jedi en el Gran Ejército de la República, y se convirtió en un mentor para Luke Skywalker antes de su muerte en el 0 ABY.;https://vignette.wikia.nocookie.net/es.starwars/images/4/4e/ObiWanHS-SWE.jpg;https://starwars.fandom.com/es/wiki/Obi-Wan_Kenobi
5;Anthony Stark;Marvel;Anthony Edward Tony Stark fue un multimillonario industrial, anterior Director General de Industrias Stark y miembro fundador de los Vengadores. Siendo el hijo de Howard Stark y poseyendo un gran intelecto, Stark se volvió un inventor de armas mundialmente reconocido hasta que fue secuestrado por los Diez Anillos.;https://static.wikia.nocookie.net/marveldatabase/images/2/21/Avengers_Infinity_War_poster_010_Textless.jpg/revision/latest/scale-to-width-down/1000?cb=20180418025121;https://marvelcinematicuniverse.fandom.com/es/wiki/Anthony_Stark
6;Darth Bane;Star Wars;Darth Bane fue un legendario Señor Oscuro de los Sith humano y fue el único superviviente de la destrucción de los Sith a manos de la Orden Jedi durante la Guerra Jedi-Sith, mil años antes de las Guerras Clon. Como único Sith sobreviviente, Bane reconoció que las luchas internas en los Sith los debilitó hasta el punto en que los Jedi podrían destruirlos.;https://vignette.wikia.nocookie.net/es.starwars/images/8/87/DarthBaneAncientMaster-CM.png;https://starwars.fandom.com/es/wiki/Darth_Bane
7;Anakin Skywalker;Star Wars;Anakin Skywalker, un hombre humano sensible a la Fuerza, fue un Caballero Jedi de la República Galáctica y el Elegido de la Fuerza. Durante las Guerras Clon, sus logros como comandante en el campo de batalla le valieron el apodo del Héroe Sin Miedo. Después de pasar al lado oscuro de la Fuerza, se hizo conocido como Darth Vader, un Señor Oscuro de los Sith y aprendiz del Emperador Darth Sidious.;https://vignette.wikia.nocookie.net/es.starwars/images/6/6f/Anakin_Skywalker_RotS.png;https://starwars.fandom.com/es/wiki/Anakin_Skywalker
8;Ethan Hunt;Mission Impossible;Poco se sabe sobre su nacimiento. En 1996, se menciona que sus padres tenían una granja, y que su padre murio por una enfermedad, tras lo cual un tío suyo llamado Donald le ayudó con la granja. Tanto su madre como su tío fueron llevados bajo custodia policial y acusados de tráfico de narcóticos como un plan de la C.I.A. para retirarle y esconderle en Europa mientras estaba acusado de desacato contra la nación. En 2006 se menciona que tanto su madre como su tío murieron.;https://vignette.wikia.nocookie.net/missionimpossible/images/5/5d/Ethan_Hunt_Fallout.jpg;https://doblaje.fandom.com/es/wiki/Ethan_Hunt
9;Ben Solo;Star Wars;Ben Solo fue un hombre humano sensible a la Fuerza que, después de caer al lado oscuro de la Fuerza, eventualmente renunció a su alter ego Kylo Ren y fue redimido. Siendo maestro de los Caballeros de Ren, conquistó gran parte de la galaxia durante su reinado como Líder Supremo de la Primera Orden. La Fuerza era intensa en Ren, además de su entrenamiento Jedi y su conocimiento del saber arcano del lado oscuro, el linaje de los Jedi y Sith más poderosos fluía por sus venas.;https://vignette.wikia.nocookie.net/es.starwars/images/b/bc/KyloRenVFcover-TROS.png;https://starwars.fandom.com/es/wiki/Ben_Solo
10;Han Solo;Star Wars;Han Solo, anteriormente conocido como Han antes de que un Oficial de Reclutamiento Imperial le diera el apellido Solo, era un hombre humano contrabandista que se convirtió en un líder en la Alianza para Restaurar la República y una figura instrumental en la derrota del Imperio Galáctico durante la Guerra Civil Galáctica. Él procedía de Corellia y se convirtió en un contrabandista al servicio de Jabba el Hutt, incluso completando el Corredor de Kessel en menos de trece parsecs con su preciada nave, el Halcón Milenario.;https://vignette.wikia.nocookie.net/es.starwars/images/e/e2/TFAHanSolo.png;https://starwars.fandom.com/es/wiki/Han_Solo
11;Gandalf;ESDLA;Cuando llegó a la tierra media tomó forma de anciano, es alto (de 1,80 cm.), tiene una barba larga y blanca hasta mas abajo de la cintura, nariz aguileña y cejas largas y espesas. Al principio se le conocía como Gandalf el Gris por su vestimenta, que era una capa y un sombrero de color azul. Se comenta que Tolkien se inspiró en el dios nórdico Odín cuando se manifestaba como el Viajero para vestir a Gandalf.;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/GANDALF.jpg/428px-GANDALF.jpg;https://esdla.fandom.com/wiki/Gandalf
12;Ross Geller;Friends;Ross fue el primer hijo del matrimonio de Jack y Juddy Geller, de ascendencia judía. Su concepción fue una sorpresa para la familia, ya que pensaban que Judy era infértil. Por esta razón, sus padres lo querían más a él que a su hermana, Mónica.;https://cdn.hobbyconsolas.com/sites/navi.axelspringer.es/public/media/image/2019/07/ross-geller.jpg;https://friends.fandom.com/es/wiki/Ross_Geller
13;Chandler Bing;Friends;Chandler Muriel Bing Geller, hijo de la novelista erótica Nora Tyler Bing y el travestí estrella de Vegas burlesco, Charles Bing, fue el compañero de cuarto de Ross Geller en la universidad. Durante la mayor parte de la serie, Chandler era un ejecutivo especializado en análisis estadístico y la reconfiguración de datos, que ocupan puestos de alto grado, como gerente de procesamiento y jefe de la oficina en Tulsa.;https://static.wikia.nocookie.net/friends/images/4/48/Chandler_Bing_portrait.jpg;https://friends.fandom.com/es/wiki/Chandler_Bing
14;Leonard Hofstadter;The Big Bang Theory;Leonard es sensato, amable y cariñoso, uno de los más normales de su grupo de amigos. A diferencia de Sheldon, Leonard es mucho más sociable y le encanta pasar tiempo con sus amigos, y por lo general no es engreído ni critica a los demás por su inteligencia. Aunque sigue siendo nerd, algo que él reconoce muy bien y le enorgullece.;https://the-big-bang-theory.es/wp-content/uploads/Leonard-Hofstadter-1.jpg;https://bigbangtheory.fandom.com/es/wiki/Leonard_Hofstadter
15;Howard Wolowitz;The Big Bang Theory;Es difícil describir la personalidad de Howard. Es el más pervertido de su grupo de amigos y quizá de toda la serie. Ha comentado que ha tenido distintas experiencias inusuales con mujeres. Aun así se lo describía como fracasado en el amor y bastante inepto al intentar ligar mujeres. Hasta que conoce a Bernadette, su novia y posterior esposa, formando la pareja más estable de la serie…;https://static.wikia.nocookie.net/tvdatabase/images/c/ca/Howard_Wolowitz.jpg;https://bigbangtheory.fandom.com/es/wiki/Howard_Wolowitz
16;Amy Farrah Fowler;The Big Bang Theory;Amy Farrah Fowler es una neurobióloga que Raj y Howard le encontraron a Sheldon a través de un servicio de citas por Internet (sin el conocimiento de Sheldon). Ella se parece más a Sheldon que cualquier otra persona (incluso él mismo lo admitió). Al igual que Sheldon, había evitado tener anteriormente relaciones, y sólo participa en citas una vez al año cumpliendo con un acuerdo con su madre, gracias al cual ella puede utilizar el grill de George Foreman.;https://static.wikia.nocookie.net/loveinterest/images/2/2e/Amy_Farrah_Fowler.png;https://bigbangtheory.fandom.com/es/wiki/Amy_Farrah_Fowler
17;Penny;The Big Bang Theory;En contraste al resto del grupo, Penny ni es particularmente inteligente ni sabe mucho sobre ciencia, pero tiene unas grandes dotes sociales y mucho conocimiento sobre cultura pop. Es desordenada y algo fiestera, pero al parecer le gusta vivir de ese modo. Tiene mucha confianza en los horóscopos y en las adivinas y discute varias veces con Leonard y Sheldon sobre su precisión.;https://static.wikia.nocookie.net/characterpedia/images/a/a2/Penny_(TBBT).jpg;https://bigbangtheory.fandom.com/es/wiki/Penny_Hofstadter
18;Benji Dunn;Mission Impossible;Técnico de la Fuerza Misión Imposible (FMI), una agencia encubierta de élite, que se une al equipo de Ethan Hunt como uno de los miembros principales, ayudándolo y guiándolo en múltiples misiones tácticas gracias a su habilidad para hackear sistemas computarizados.;https://static.wikia.nocookie.net/missionimpossible/images/6/6c/Benji_Dunn_in_2023.jpg;https://doblaje.fandom.com/es/wiki/Benji_Dunn
19;Monkey D. Luffy;One Piece;Monkey D. Luffy, más conocido como Luffy (Sombrero de Paja), es el protagonista principal de la serie de manga y anime One Piece. Es el capitán y fundador de los Piratas de Sombrero de Paja así como un de los Cuatro Emperadores que gobiernan los mares del Nuevo Mundo.;https://static.wikia.nocookie.net/one-piece-pirate-warriors/images/0/05/Oppw-timeskip-luffy.jpg/revision/latest?cb=20130113030246;https://onepiece.fandom.com/es/wiki/Monkey_D._Luffy
20;Ahsoka Tano;Star Wars;Ahsoka Tano, apodada por su Maestro como Sabionda, Chulita o Mocosa, fue una Padawan Jedi togruta que, tras las Guerras Clon, ayudó a establecer una red de células rebeldes para combatir al Imperio Galáctico. Tano fue descubierta en su planeta natal Shili por el Maestro Jedi Plo Koon, quien la llevó al Templo Jedi de Coruscant para que fuese entrenada en las artes Jedi.;https://vignette.wikia.nocookie.net/es.starwars/images/5/5b/Ahsoka_Tano_Rebels_Profile.png;https://starwars.fandom.com/es/wiki/Ahsoka_Tano
